Airline,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Month,WeekDay,Day
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,14:40,21:00,3h 10m,1 stop,No info,7005,6,Monday,24.0
Jet Airways,Mumbai,Cochin,BOM → HYD,19:15,21:05,9h 10m,non-stop,No info,3210,3,Wednesday,27.0
Air India,Delhi,Cochin,DEL → MAA → COK,05:30,09:25 07 Jun,22h 55m,1 stop,No info,7952,5,Thursday,9.0
Air India,Delhi,Cochin,DEL → CCU → BOM → COK,20:15,19:15 25 Jun,23h,2 stops,No info,13381,6,Monday,24.0
IndiGo,Kolkata,Cochin,CCU → BBI → BLR,20:55,23:15,7h 30m,1 stop,No info,4226,5,Tuesday,21.0
Air India,Delhi,Cochin,DEL → HYD → MAA → COK,09:45,09:25 28 Jun,23h 40m,2 stops,No info,10975,6,Thursday,27.0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,19:00,18:50,6h 30m,1 stop,No info,12347,5,Wednesday,15.0
IndiGo,Banglore,Delhi,BLR → DEL,11:30,06:50,2h 50m,non-stop,No info,3943,6,Saturday,1.0
Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,16:55,04:25 28 May,26h 20m,2 stops,No info,16704,6,Thursday,6.0
Jet Airways,Banglore,Cochin,BLR → BOM → DEL,06:40,08:15 02 Mar,12h 10m,1 stop,No info,22270,3,Thursday,21.0
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,07:10,22:30,15h 20m,,No info,6723,6,Monday,24.0
Multiple carriers,Delhi,Banglore,DEL → BOM → COK,20:00,19:00,16h,1 stop,In-flight meal not included,10197,6,Wednesday,12.0
Air India,Delhi,Banglore,DEL → MAA → COK,09:35,09:25 02 Apr,28h 50m,1 stop,In-flight meal not included,5117,5,Wednesday,15.0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,16:30,20:45 13 Jun,28h 15m,1 stop,In-flight meal not included,8529,6,Wednesday,12.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,18:15,01:35 28 Mar,7h 20m,1 stop,No info,12327,3,Wednesday,27.0
Air India,Delhi,Cochin,DEL → CCU → BOM → COK,14:25,19:15 07 Jun,28h 50m,2 stops,No info,13591,6,Thursday,6.0
Air India,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,19:15 19 May,26h 35m,2 stops,No info,9863,5,Saturday,18.0
Vistara,Banglore,Delhi,BLR → DEL,09:45,12:35,2h 50m,non-stop,No info,5403,4,Sunday,21.0
IndiGo,Delhi,Cochin,DEL → MAA → COK,02:00,07:25,5h 25m,1 stop,No info,4744,4,Wednesday,3.0
Jet Airways,Banglore,Delhi,BLR → DEL,06:00,08:45,2h 45m,non-stop,No info,7229,4,Thursday,18.0
GoAir,Banglore,Delhi,BLR → DEL,07:45,10:40,2h 55m,non-stop,No info,3898,5,Sunday,12.0
Jet Airways,Kolkata,New Delhi,CCU → BOM → BLR,10:05,18:15 13 May,2h 55m,1 stop,No info,10844,3,Saturday,9.0
Jet Airways,Banglore,Delhi,BLR → DEL,11:10,14:05,2h 55m,non-stop,In-flight meal not included,4544,4,Monday,15.0
SpiceJet,Chennai,Cochin,MAA → CCU,11:40,12:00,7h 20m,non-stop,No info,3543,6,Sunday,9.0
IndiGo,Mumbai,Hyderabad,BOM → HYD,02:30,04:00,1h 30m,non-stop,No info,3342,3,Friday,15.0
IndiGo,Kolkata,Banglore,CCU → BLR,14:25,16:55,2h 30m,non-stop,No info,4804,6,Monday,24.0
Air India,Delhi,Cochin,DEL → COK,05:10,08:00,2h 50m,non-stop,No info,6094,5,Monday,27.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,20:00,01:30 10 Jun,8h 25m,1 stop,No info,6795,5,Tuesday,21.0
Jet Airways,Delhi,Delhi,DEL → BOM → COK,09:30,04:25 13 Jun,2h 50m,,No info,10262,4,Monday,1.0
Multiple carriers,Delhi,New Delhi,DEL → BOM → COK,22:50,21:00,6h 15m,1 stop,No info,7618,3,Monday,18.0
IndiGo,Banglore,New Delhi,BLR → DEL,23:30,02:20 02 Mar,2h 50m,non-stop,No info,10067,3,Friday,1.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,06:00,12:35,6h 35m,1 stop,No info,9794,5,Saturday,18.0
IndiGo,Chennai,Banglore,MAA → CCU,09:25,10:15,20h 10m,non-stop,No info,3850,3,Sunday,24.0
Jet Airways,Kolkata,Cochin,CCU → BOM → BLR,05:05,18:15,11h 5m,1 stop,No info,14781,6,Monday,24.0
Multiple carriers,Delhi,Delhi,DEL → BOM → COK,21:05,18:50,2h 50m,1 stop,No info,15135,4,Tuesday,9.0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,02:15,12:35,10h 20m,,In-flight meal not included,10262,6,Saturday,15.0
IndiGo,Mumbai,Hyderabad,BOM → HYD,19:05,20:35,1h 30m,non-stop,No info,2754,6,Wednesday,12.0
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,08:55,21:20,12h 25m,1 stop,In-flight meal not included,7832,3,Thursday,21.0
Jet Airways,Banglore,Hyderabad,BLR → BOM → DEL,02:55,11:25 02 Mar,1h 25m,1 stop,No info,20800,6,Sunday,9.0
SpiceJet,Delhi,Hyderabad,DEL → PNQ → COK,12:00,13:15,1h 30m,1 stop,No info,6460,6,Saturday,1.0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,02:15,18:50 10 Mar,11h 5m,1 stop,No info,14053,3,Wednesday,27.0
IndiGo,Chennai,Hyderabad,MAA → CCU,21:05,21:55,1h 20m,non-stop,No info,6297,3,Tuesday,12.0
Jet Airways,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,04:25 07 Jun,8h 25m,2 stops,In-flight meal not included,15318,6,Thursday,6.0
IndiGo,Kolkata,Hyderabad,CCU → BLR,22:45,00:05 02 Mar,1h 30m,non-stop,No check-in baggage included,4778,6,Saturday,1.0
IndiGo,Delhi,Banglore,DEL → BOM → COK,18:05,15:30,5h 25m,1 stop,No info,8574,5,Monday,6.0
Vistara,Banglore,Delhi,BLR → DEL,19:30,22:15,2h 45m,non-stop,No info,5088,6,Thursday,6.0
Jet Airways,Delhi,Banglore,DEL → BOM → COK,21:10,19:00 04 Jun,12h 10m,1 stop,No info,10262,5,Saturday,18.0
Air India,Banglore,New Delhi,BLR → CCU → GAU → DEL,11:05,22:10 16 Mar,35h 5m,,No info,11161,3,Monday,18.0
GoAir,Banglore,Kolkata,BLR → DEL,14:40,14:35,2h 25m,non-stop,No info,4340,3,Wednesday,27.0
Jet Airways,Delhi,Cochin,DEL → IDR → BOM → COK,09:35,12:35 16 Jun,27h,2 stops,No info,13292,6,Saturday,15.0
Air Asia,Kolkata,Banglore,CCU → BLR,22:50,01:20 16 Mar,2h 30m,non-stop,No info,3782,3,Friday,15.0
Air Asia,Kolkata,Cochin,CCU → BLR,13:00,22:05,8h,non-stop,No info,3782,5,Monday,6.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,14:25,19:15,5h 10m,1 stop,No info,9100,6,Thursday,27.0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,15:00,04:25 02 Jun,13h 25m,1 stop,No info,14714,6,Saturday,1.0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,20:00,09:20 19 May,13h 20m,1 stop,In-flight meal not included,9663,6,Thursday,6.0
Air India,Delhi,Cochin,DEL → COK,18:05,21:10,3h 5m,non-stop,No info,8666,3,Sunday,3.0
IndiGo,Kolkata,Banglore,CCU → MAA → BLR,09:50,13:00,13h 25m,1 stop,No info,5069,5,Tuesday,21.0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,11:30,04:25 10 Jun,16h 55m,1 stop,In-flight meal not included,10262,6,Sunday,9.0
IndiGo,Banglore,New Delhi,BLR → DEL,10:10,13:00,2h 50m,non-stop,No info,10067,3,Sunday,24.0
SpiceJet,Banglore,Cochin,BLR → DEL,17:15,00:05 28 Apr,7h 40m,non-stop,No info,3971,5,Tuesday,21.0
Multiple carriers,Delhi,Banglore,DEL → BOM → COK,06:30,21:00,13h 20m,1 stop,No info,16863,6,Wednesday,12.0
Jet Airways,Delhi,Delhi,DEL → BOM → COK,09:30,18:50 22 Mar,2h 50m,1 stop,No check-in baggage included,5963,4,Saturday,27.0
SpiceJet,Mumbai,Cochin,BOM → HYD,18:45,00:15 19 Jun,24h 30m,non-stop,No info,1965,6,Wednesday,12.0
Vistara,Kolkata,Banglore,CCU → DEL → BLR,17:00,10:50 25 Mar,17h 50m,1 stop,No info,12890,3,Sunday,24.0
Multiple carriers,Delhi,New Delhi,DEL → BOM → COK,05:50,01:30 10 May,17h 55m,1 stop,No info,9424,3,Friday,15.0
SpiceJet,Banglore,Cochin,BLR → DEL,10:35,12:20,14h 55m,non-stop,No info,4319,5,Tuesday,21.0
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,07:00,09:30 13 Mar,26h 30m,1 stop,In-flight meal not included,11087,3,Saturday,9.0
IndiGo,Delhi,Cochin,DEL → BOM → COK,07:30,15:30,8h,1 stop,No info,10208,3,Thursday,21.0
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,22:50,07:40 02 Mar,8h 50m,1 stop,No info,26890,3,Friday,1.0
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,07:10,22:30,15h 20m,1 stop,No info,7878,5,Monday,27.0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,20:00,12:00 02 Apr,16h,1 stop,In-flight meal not included,7064,4,Monday,1.0
Air India,Kolkata,Kolkata,CCU → GAU → DEL → BLR,14:45,08:55 22 May,2h 20m,2 stops,No info,14960,5,Friday,24.0
Jet Airways,Banglore,New Delhi,BLR → DEL,11:10,14:05,2h 55m,non-stop,No info,7229,3,Sunday,24.0
Air India,Banglore,Banglore,BLR → BOM → BHO → DEL,09:50,09:25 02 Mar,23h 5m,2 stops,No info,25430,5,Wednesday,15.0
IndiGo,Kolkata,Banglore,CCU → BLR,17:15,19:50,2h 35m,non-stop,No info,4174,4,Tuesday,9.0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,06:30,19:50,13h 20m,1 stop,No info,14781,5,Monday,6.0
GoAir,Kolkata,Delhi,CCU → AMD → BLR,04:00,00:15 22 May,2h 50m,1 stop,No info,8855,6,Saturday,1.0
IndiGo,Kolkata,Cochin,CCU → BBI → BLR,07:00,23:15,12h,1 stop,No info,4226,6,Thursday,27.0
Vistara,Banglore,Banglore,BLR → DEL,17:10,09:40,2h 30m,non-stop,No check-in baggage included,21520,5,Tuesday,21.0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,14:00,12:35 25 Jun,22h 35m,1 stop,In-flight meal not included,10262,6,Monday,24.0
GoAir,Delhi,Delhi,DEL → BOM → COK,07:45,19:35,2h 55m,1 stop,No info,7378,6,Thursday,6.0
Jet Airways,Kolkata,Cochin,CCU → BOM → BLR,10:00,23:35,9h,1 stop,In-flight meal not included,8586,6,Saturday,15.0
Air India,Kolkata,Banglore,CCU → DEL → COK → BLR,10:00,01:20 07 Jun,15h 20m,2 stops,No info,13033,6,Thursday,6.0
SpiceJet,Chennai,Banglore,MAA → CCU,15:15,12:00,2h 30m,non-stop,No info,3543,6,Thursday,27.0
SpiceJet,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,non-stop,No check-in baggage included,3841,5,Monday,27.0
IndiGo,Chennai,Hyderabad,MAA → CCU,05:45,21:55,1h 30m,non-stop,No check-in baggage included,3597,6,Friday,21.0
Jet Airways,Banglore,Delhi,BLR → DEL,11:10,14:05,2h 55m,non-stop,No info,7229,4,Thursday,18.0
Air India,Banglore,Cochin,BLR → DEL,15:00,16:10,28h,non-stop,No info,4441,6,Thursday,6.0
Jet Airways,Banglore,Cochin,BLR → BOM → DEL,17:00,20:20 07 Mar,8h 30m,1 stop,No info,17471,5,Wednesday,15.0
Air India,Delhi,Banglore,DEL → AMD → BOM → COK,20:20,19:15 25 Jun,22h 30m,2 stops,No info,9443,5,Friday,24.0
Air India,Kolkata,Banglore,CCU → MAA → BLR,14:35,14:35 25 May,24h,1 stop,No info,6528,5,Friday,24.0
Air India,Banglore,New Delhi,BLR → BBI → DEL,09:30,12:05 02 Mar,26h 35m,1 stop,No info,12704,3,Friday,1.0
Air India,Delhi,Hyderabad,DEL → RPR → NAG → BOM → COK,22:45,07:40 28 Jun,1h 30m,3 stops,No info,11543,4,Wednesday,3.0
IndiGo,Chennai,Cochin,MAA → CCU,13:00,17:05,23h 35m,non-stop,In-flight meal not included,3597,6,Monday,3.0
Air India,Kolkata,Cochin,CCU → BBI → HYD → BLR,02:15,11:05 16 May,26h 10m,2 stops,No info,6117,3,Wednesday,27.0
Jet Airways,Kolkata,Cochin,CCU → BOM → BLR,14:00,19:50,11h 35m,1 stop,No info,10844,3,Thursday,21.0
IndiGo,Delhi,Cochin,DEL → HYD → COK,08:35,22:30,13h 55m,1 stop,No info,6442,6,Wednesday,12.0
IndiGo,Mumbai,Kolkata,BOM → HYD,07:55,07:45,2h 20m,non-stop,No info,4784,3,Friday,15.0
Air India,Kolkata,Banglore,CCU → BOM → COK → BLR,16:50,13:45 10 Jun,20h 55m,2 stops,No info,11752,6,Sunday,9.0
Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,12:35 25 Jun,17h 5m,2 stops,In-flight meal not included,10368,6,Monday,
Air India,Delhi,Delhi,DEL → NAG → BOM → COK,11:40,07:40 10 Jun,2h 50m,2 stops,No info,10493,5,Friday,3.0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,06:30,09:20 22 May,26h 50m,1 stop,In-flight meal not included,9663,5,Tuesday,21.0
IndiGo,Banglore,New Delhi,BLR → HYD → DEL,12:10,17:05,4h 55m,1 stop,No info,9694,3,Friday,1.0
IndiGo,Kolkata,Banglore,CCU → HYD → BLR,09:50,20:15,23h 5m,1 stop,No info,6762,5,Tuesday,21.0
IndiGo,Chennai,Kolkata,MAA → CCU,13:20,15:35,2h 15m,non-stop,No info,7295,3,Friday,1.0
IndiGo,Chennai,Kolkata,MAA → CCU,19:35,21:55,2h 20m,non-stop,No info,3858,3,Wednesday,27.0
Multiple carriers Premium economy,Delhi,Cochin,DEL → BOM → COK,07:30,18:50,11h 20m,1 stop,No info,14629,3,Thursday,21.0
SpiceJet,Kolkata,Banglore,CCU → BLR,22:20,00:40 16 Apr,2h 20m,non-stop,No info,3873,4,Monday,15.0
Jet Airways,Delhi,Hyderabad,DEL → JAI → BOM → COK,10:20,19:00,1h 30m,2 stops,No info,15129,3,Sunday,24.0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,15:45,19:00 22 May,6h 20m,1 stop,No info,16079,6,Sunday,9.0
GoAir,Banglore,Delhi,BLR → DEL,20:55,23:40,2h 45m,non-stop,No info,4239,4,Tuesday,9.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,06:40,19:15,12h 35m,1 stop,No info,7564,5,Saturday,18.0
Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,17:30,04:25 22 May,10h 55m,2 stops,No info,15129,3,Thursday,21.0
Air India,Kolkata,Banglore,CCU → DEL → BLR,07:00,20:25,13h 25m,1 stop,No info,10203,5,Thursday,9.0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,16:30,09:20 13 Jun,16h 50m,1 stop,In-flight meal not included,8529,6,Wednesday,12.0
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,20:35,18:25 13 Mar,21h 50m,1 stop,In-flight meal not included,11087,3,Tuesday,12.0
IndiGo,Banglore,Delhi,BLR → DEL,21:15,00:15 07 May,3h,non-stop,No info,3943,5,Monday,6.0
Air India,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,19:15 07 Mar,26h 35m,2 stops,No info,12646,3,Wednesday,6.0
IndiGo,Banglore,Delhi,BLR → DEL,23:30,01:00 04 May,2h 50m,non-stop,No info,4284,5,Sunday,12.0
Vistara,Kolkata,New Delhi,CCU → DEL → BLR,05:50,18:45 25 Mar,2h 50m,1 stop,No info,13100,3,Sunday,24.0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,08:25,12:00 02 May,27h 35m,1 stop,In-flight meal not included,9663,5,Wednesday,1.0
GoAir,Delhi,Cochin,DEL → BOM → COK,07:05,19:35,12h 10m,1 stop,In-flight meal not included,7378,6,Saturday,1.0
IndiGo,Banglore,Delhi,BLR → DEL,16:55,19:55,3h,non-stop,No info,4823,6,Monday,
Jet Airways,Kolkata,Cochin,CCU → BOM → BLR,06:10,08:15 19 May,26h 5m,1 stop,No info,8586,3,Wednesday,6.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,08:00,21:00,13h,1 stop,No info,13797,6,Wednesday,12.0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,16:30,19:50 02 Apr,27h 20m,1 stop,No info,12681,4,Monday,
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,20:00,04:40 16 May,8h 40m,1 stop,No info,13941,5,Wednesday,15.0
IndiGo,Kolkata,Banglore,CCU → BLR,04:40,07:15,2h 35m,non-stop,No info,4804,4,Sunday,21.0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,19:45,12:35 04 Jun,16h 50m,1 stop,No info,14714,6,Monday,3.0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,18:15,19:00 10 May,7h 20m,1 stop,No info,12373,3,Thursday,21.0
SpiceJet,Mumbai,Hyderabad,BOM → HYD,22:45,00:15 02 May,1h 30m,non-stop,No info,2017,5,Wednesday,1.0
SpiceJet,Banglore,Delhi,BLR → DEL,09:30,12:20,2h 50m,non-stop,No check-in baggage included,4885,6,Saturday,15.0
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,07:10,21:05 10 May,15h 30m,1 stop,No info,13067,5,Thursday,
Jet Airways,Banglore,Delhi,BLR → DEL,15:15,18:10,2h 55m,non-stop,In-flight meal not included,5769,6,Wednesday,12.0
IndiGo,Kolkata,Banglore,CCU → BLR,20:20,22:55,2h 35m,non-stop,No info,4804,5,Friday,3.0
IndiGo,Delhi,Cochin,DEL → LKO → COK,21:50,03:35 13 Jun,5h 45m,1 stop,No info,5775,6,Wednesday,12.0
Jet Airways,Banglore,Hyderabad,BLR → BOM → DEL,21:05,07:40 19 Mar,1h 20m,1 stop,No info,7832,3,Thursday,21.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,10:35,19:15,8h 40m,1 stop,No info,8099,5,Monday,27.0
IndiGo,Mumbai,Hyderabad,BOM → HYD,06:20,07:45,1h 25m,non-stop,No info,17501,3,Friday,1.0
Air India,Chennai,Delhi,MAA → CCU,11:10,13:55,2h 55m,non-stop,No info,4667,6,Friday,21.0
SpiceJet,Chennai,Hyderabad,MAA → CCU,08:50,12:00,1h 25m,non-stop,No info,3543,3,Saturday,9.0
SpiceJet,Kolkata,Banglore,CCU → BLR,22:20,00:40 04 Mar,2h 20m,non-stop,No info,5515,3,Sunday,3.0
SpiceJet,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4h 30m,1 stop,No check-in baggage included,5158,6,Thursday,6.0
Air India,Kolkata,Banglore,CCU → VNS → DEL → BLR,14:30,08:55 22 May,18h 25m,2 stops,No info,15107,5,Tuesday,21.0
SpiceJet,Chennai,Banglore,MAA → CCU,18:55,12:00,24h 55m,non-stop,In-flight meal not included,3543,6,Thursday,6.0
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,20:25,14:25 02 May,18h,1 stop,In-flight meal not included,9314,5,Wednesday,1.0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11h 55m,1 stop,In-flight meal not included,12239,5,Tuesday,21.0
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,22:55,12:25 13 Mar,13h 30m,1 stop,In-flight meal not included,11087,3,Tuesday,12.0
Air India,Delhi,Cochin,DEL → BOM → COK,10:00,19:15,9h 15m,1 stop,No info,8372,5,Wednesday,15.0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,13:00,12:35 10 May,23h 35m,1 stop,In-flight meal not included,12373,5,Thursday,
IndiGo,Kolkata,Banglore,CCU → MAA → BLR,06:15,10:30,4h 15m,1 stop,No info,4226,4,Saturday,6.0
IndiGo,Kolkata,Banglore,CCU → BLR,20:20,22:55,2h 35m,non-stop,No info,4804,5,Friday,24.0
Air Asia,Kolkata,Cochin,CCU → DEL → BLR,12:50,23:30,8h 10m,1 stop,In-flight meal not included,5192,6,Thursday,27.0
Multiple carriers,Delhi,Hyderabad,DEL → BOM → COK,10:20,18:50,1h 30m,1 stop,No info,15411,5,Monday,27.0
IndiGo,Delhi,Banglore,DEL → COK,15:30,08:50,2h 35m,non-stop,No info,6015,4,Monday,1.0
SpiceJet,Banglore,Cochin,BLR → PNQ → DEL,22:00,18:15,21h 15m,1 stop,No info,23267,5,Monday,27.0
IndiGo,Banglore,Delhi,BLR → DEL,07:10,10:05,2h 55m,non-stop,No info,4823,6,Wednesday,12.0
SpiceJet,Kolkata,Cochin,CCU → BLR,12:50,19:40,12h 45m,non-stop,No info,4174,3,Thursday,21.0
IndiGo,Delhi,Cochin,DEL → HYD → COK,11:55,22:30,10h 35m,1 stop,No info,8216,5,Saturday,18.0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,06:30,04:40 13 May,5h 30m,1 stop,No info,14388,5,Friday,24.0
Jet Airways,Kolkata,New Delhi,CCU → BOM → BLR,15:45,19:50,4h 30m,1 stop,No info,10844,3,Friday,1.0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,16:30,10:05 13 Jun,17h 35m,1 stop,In-flight meal not included,8529,6,Wednesday,12.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,10:00,21:00,11h,1 stop,In-flight meal not included,8085,3,Thursday,21.0
SpiceJet,Mumbai,Hyderabad,BOM → HYD,22:45,00:15 07 Jun,1h 30m,non-stop,No check-in baggage included,1965,6,Thursday,6.0
IndiGo,Delhi,Delhi,DEL → BOM → COK,07:10,01:30 10 Jun,3h,1 stop,In-flight meal not included,6316,5,Friday,24.0
Jet Airways,Banglore,Cochin,BLR → BOM → DEL,17:55,19:10,4h 55m,1 stop,No info,13555,6,Monday,24.0
IndiGo,Kolkata,Cochin,CCU → BLR,17:50,22:55,7h 40m,non-stop,No info,4804,5,Monday,27.0
SpiceJet,Mumbai,Hyderabad,BOM → HYD,05:45,07:05,1h 20m,non-stop,No info,3173,3,Thursday,21.0
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,08:55,11:25 13 Mar,26h 30m,1 stop,In-flight meal not included,11087,3,Saturday,9.0
Jet Airways,Kolkata,New Delhi,CCU → DEL → BLR,06:45,23:35,28h 25m,1 stop,No info,13067,3,Sunday,3.0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,18:15,19:00 10 May,24h 45m,1 stop,No info,15554,5,Thursday,9.0
Multiple carriers,Delhi,Cochin,DEL → IDR → BOM → COK,02:00,01:30 07 Jun,5h 25m,2 stops,No info,15965,6,Saturday,
Air Asia,Kolkata,Banglore,CCU → DEL → BLR,22:40,10:40 22 May,12h,1 stop,No info,9719,5,Tuesday,21.0
SpiceJet,Kolkata,Hyderabad,CCU → BLR,17:15,19:45,23h 35m,non-stop,No info,3815,3,Wednesday,6.0
IndiGo,Delhi,Cochin,DEL → BOM → COK,06:40,21:00,6h 40m,1 stop,No info,8784,3,Sunday,3.0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,21:10,04:40 13 May,7h 30m,1 stop,In-flight meal not included,8586,5,Sunday,12.0
Multiple carriers,Delhi,Banglore,DEL → BOM → COK,22:50,19:15,2h 30m,1 stop,No info,14533,4,Sunday,21.0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,16:30,19:50 13 May,27h 20m,1 stop,In-flight meal not included,10844,5,Sunday,12.0
Multiple carriers,Delhi,Banglore,DEL → BOM → COK,19:35,12:35,3h 40m,1 stop,No info,10197,5,Friday,24.0
Jet Airways,Delhi,Cochin,DEL → COK,13:55,14:15,7h 5m,non-stop,No info,7202,3,Sunday,3.0
Air India,Delhi,New Delhi,DEL → AMD → BOM → COK,11:40,19:15 22 Mar,17h 25m,2 stops,No info,8236,3,Monday,18.0
Air Asia,Kolkata,Cochin,CCU → DEL → BLR,07:00,19:25,12h 15m,1 stop,No info,5192,4,Tuesday,9.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,21:50,19:00,5h 45m,1 stop,No info,12192,6,Monday,3.0
Air India,Kolkata,Banglore,CCU → IXR → DEL → BLR,05:50,23:15,17h 25m,2 stops,No info,10991,5,Wednesday,1.0
Jet Airways,Mumbai,Hyderabad,BOM → HYD,02:55,04:25,1h 30m,non-stop,No info,5678,3,Wednesday,27.0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,16:55,22:35,5h 40m,1 stop,In-flight meal not included,11134,3,Sunday,24.0
SpiceJet,Banglore,Delhi,BLR → DEL,21:10,00:05 02 Apr,2h 55m,non-stop,No info,3625,4,Monday,1.0
IndiGo,Kolkata,Banglore,CCU → BLR,04:40,07:15,2h 35m,non-stop,No info,4804,5,Friday,24.0
SpiceJet,Kolkata,Banglore,CCU → BLR,17:10,19:40,2h 30m,non-stop,No check-in baggage included,3841,5,Friday,3.0
Jet Airways,Banglore,Cochin,BLR → BOM → DEL,10:45,20:20,8h 5m,1 stop,No info,13555,3,Sunday,3.0
IndiGo,Chennai,Kolkata,MAA → CCU,11:35,14:00,2h 25m,non-stop,No info,3858,3,Wednesday,27.0
Jet Airways,Kolkata,Cochin,CCU → BOM → BLR,09:15,09:20 22 May,10h,1 stop,No info,10844,5,Saturday,18.0
Multiple carriers,Delhi,Delhi,DEL → BOM → COK,16:55,19:00,2h 50m,1 stop,No info,10529,6,Saturday,1.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,13:00,01:30 28 May,12h 30m,1 stop,In-flight meal not included,6943,5,Monday,27.0
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,09:35,21:05,11h 30m,1 stop,No info,14676,6,Sunday,9.0
Air Asia,Delhi,Banglore,DEL → BLR → COK,09:35,07:10 19 May,2h 45m,1 stop,No info,7452,4,Wednesday,24.0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,14:00,04:25 28 May,5h,1 stop,In-flight meal not included,12898,5,Monday,27.0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,08:00,19:00,11h,1 stop,In-flight meal not included,11399,5,Thursday,9.0
IndiGo,Delhi,Banglore,DEL → BOM → COK,20:20,01:30 10 May,12h 45m,1 stop,No info,7255,5,Wednesday,1.0
Multiple carriers,Delhi,Banglore,DEL → BOM → COK,15:55,21:00,5h 30m,1 stop,No info,13937,6,Sunday,9.0
SpiceJet,Kolkata,Cochin,CCU → BLR,17:45,19:40,7h 45m,non-stop,In-flight meal not included,4174,6,Monday,24.0
Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,20:30,12:35 10 Jun,26h 30m,2 stops,No info,13014,5,Saturday,18.0
IndiGo,Banglore,Hyderabad,BLR → DEL,22:45,03:25,1h 30m,non-stop,No check-in baggage included,3419,5,Thursday,9.0
IndiGo,Delhi,Cochin,DEL → BOM → COK,19:15,01:30 07 May,9h 10m,1 stop,No info,6979,3,Sunday,3.0
IndiGo,Kolkata,Cochin,CCU → BLR,10:45,12:20,8h 30m,non-stop,No info,5644,3,Wednesday,27.0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,19:45,19:00 16 Jun,23h 15m,1 stop,In-flight meal not included,10262,6,Saturday,15.0
SpiceJet,Kolkata,New Delhi,CCU → PNQ → BLR,21:25,17:15,13h,1 stop,No info,6853,3,Monday,18.0
